date,race_id,odds,prob,stake,win,bankroll
2025-07-05,2025/07/05_4,5.0,0.23413924872875214,42.67406091094017,False,9957.32593908906
2025-07-13,2025/07/13_7,4.1,0.25948140025138855,20.516505109405696,True,10020.927104928218
2025-07-13,2025/07/13_11,3.7,0.2869209945201874,22.865409912033947,True,10082.66371169071
2025-07-16,2025/07/16_8,3.9,0.2711184322834015,19.943469153488497,True,10140.499772235826
2025-07-16,2025/07/16_1,3.4,0.24609829485416412,10.0,False,10130.499772235826
2025-07-16,2025/07/16_5,3.2,0.224880650639534,10.0,False,10120.499772235826
2025-09-28,2025/09/28_2,3.9,0.23021551966667175,10.0,False,10110.499772235826
2025-09-28,2025/09/28_5,3.1,0.22684575617313385,10.0,False,10100.499772235826
2025-10-01,2025/10/01_10,3.1,0.2595530152320862,10.0,False,10090.499772235826
2025-10-08,2025/10/08_9,3.1,0.29040372371673584,10.0,False,10080.499772235826
2025-10-12,2025/10/12_10,3.3,0.2544359564781189,10.0,False,10070.499772235826
2025-10-15,2025/10/15_6,3.1,0.23810064792633057,10.0,False,10060.499772235826
2025-10-19,2025/10/19_10,3.7,0.31894737482070923,67.10922952586391,False,9993.390542709962
2025-10-19,2025/10/19_1,3.2,0.22571413218975067,10.0,False,9983.390542709962
2025-10-26,2025/10/26_10,3.5,0.2234780490398407,10.0,True,10008.390542709962
2025-10-26,2025/10/26_3,4.6,0.298256516456604,103.41446863547634,False,9904.976074074486
2025-11-02,2025/11/02_10,4.4,0.231918603181839,10.0,False,9894.976074074486
2025-11-09,2025/11/09_10,3.7,0.29178693890571594,29.17613366531993,True,9973.75163497085
2025-11-09,2025/11/09_1,3.3,0.2245585173368454,10.0,False,9963.75163497085
2025-11-12,2025/11/12_7,5.0,0.2798534631729126,99.45500928089905,True,10361.571672094446
2025-11-15,2025/11/15_7,3.3,0.3011026680469513,10.0,True,10384.571672094446
2025-11-26,2025/11/26_6,4.4,0.3121773600578308,114.10212575232286,False,10270.469546342123
2025-11-26,2025/11/26_3,3.8,0.22449332475662231,10.0,False,10260.469546342123
2025-11-30,2025/11/30_8,3.8,0.24375726282596588,10.0,True,10288.469546342123
2025-11-30,2025/11/30_10,3.9,0.24111752212047577,10.0,False,10278.469546342123
2025-11-30,2025/11/30_2,3.1,0.23081080615520477,10.0,False,10268.469546342123
2025-12-03,2025/12/03_6,4.1,0.3190362751483917,102.03835430227716,False,10166.431192039847
2025-12-07,2025/12/07_5,3.8,0.3112449049949646,66.34708813844438,True,10352.20303882749
2025-12-14,2025/12/14_9,4.3,0.2590274512767792,35.70507468592503,False,10316.497964141565
2025-12-14,2025/12/14_3,4.1,0.3758392035961151,180.01980608736966,False,10136.478158054195
2025-12-20,2025/12/20_9,3.7,0.28363028168678284,18.558030240181015,False,10117.920127814014
2025-12-20,2025/12/20_5,4.0,0.31971997022628784,94.05614534175352,False,10023.86398247226
2025-12-23,2025/12/23_9,3.7,0.30673062801361084,50.08342840943124,False,9973.780554062829
2026-01-01,2026/01/01_11,3.9,0.41038164496421814,206.52205793317472,False,9767.258496129654
2026-01-04,2026/01/04_11,3.3,0.3239956498146057,29.380611867862573,False,9737.877884261792
2026-01-11,2026/01/11_9,3.9,0.26664412021636963,13.402029396882035,False,9724.47585486491
2026-01-14,2026/01/14_6,4.4,0.23706276714801788,12.320389061643663,True,9766.365177674497
2026-01-14,2026/01/14_9,4.8,0.3073861300945282,122.19609916292248,False,9644.169078511575
2026-01-25,2026/01/25_10,4.4,0.3162146508693695,111.00565226676281,True,10021.58829621857
2026-01-28,2026/01/28_1,4.8,0.2317621260881424,29.65815350729999,True,10134.28927954631
2026-02-04,2026/02/04_6,3.5,0.22877396643161774,10.0,False,10124.28927954631
2026-02-04,2026/02/04_7,4.9,0.25987276434898376,70.96777505029864,False,10053.321504496012
2026-02-11,2026/02/11_2,3.3,0.2769712507724762,10.0,False,10043.321504496012
2026-02-14,2026/02/14_2,3.9,0.23481249809265137,10.0,True,10072.321504496012
2026-02-19,2026/02/19_11,3.3,0.2877112925052643,10.0,False,10062.321504496012
2026-02-19,2026/02/19_5,3.1,0.2337716668844223,10.0,False,10052.321504496012
2026-03-01,2026/03/01_5,3.6,0.23062555491924286,10.0,True,10078.321504496012
2026-03-04,2026/03/04_9,3.4,0.24225081503391266,10.0,False,10068.321504496012
2026-03-08,2026/03/08_8,4.0,0.24861156940460205,10.0,False,10058.321504496012
2026-03-11,2026/03/11_7,3.9,0.28291866183280945,35.85714657983101,False,10022.464357916182
2026-03-15,2026/03/15_10,4.9,0.34431034326553345,176.58057807546726,False,9845.883779840715
2026-03-22,2026/03/22_6,4.5,0.2915409505367279,87.7505326394113,False,9758.133247201304
2026-03-25,2026/03/25_8,3.9,0.22534513473510742,10.0,False,9748.133247201304
2026-03-29,2026/03/29_9,4.2,0.32795196771621704,114.96651777227439,False,9633.16672942903
2026-04-01,2026/04/01_6,3.5,0.24019743502140045,10.0,False,9623.16672942903
2026-04-12,2026/04/12_5,4.5,0.2634638249874115,51.02676251978114,False,9572.139966909248
2026-04-15,2026/04/15_7,4.1,0.3321838974952698,111.76368243745786,False,9460.37628447179
2026-04-15,2026/04/15_5,4.9,0.28884583711624146,100.7516979848816,False,9359.624586486907
2026-04-15,2026/04/15_9,4.1,0.2517227530479431,10.0,False,9349.624586486907
2026-04-19,2026/04/19_10,3.9,0.3633808493614197,134.50089844690993,True,9739.677191982946
2026-04-22,2026/04/22_9,3.4,0.27980369329452515,10.0,False,9729.677191982946
2026-04-22,2026/04/22_2,3.7,0.2582469880580902,10.0,False,9719.677191982946
2026-04-26,2026/04/26_8,3.4,0.2795751392841339,10.0,False,9709.677191982946
2026-04-26,2026/04/26_11,4.0,0.40471696853637695,200.30024274805365,True,10310.577920227108
2026-05-06,2026/05/06_5,3.3,0.22074368596076965,10.0,False,10300.577920227108
2026-05-09,2026/05/09_8,3.3,0.31378069519996643,15.888101404992886,False,10284.689818822115
2026-05-09,2026/05/09_11,4.7,0.27321693301200867,78.97518391314622,False,10205.714634908969
2026-05-09,2026/05/09_4,4.4,0.27882489562034607,68.08698716038148,False,10137.627647748588
2026-05-20,2026/05/20_8,3.3,0.38418012857437134,118.03478955000958,False,10019.592858198579
2026-05-27,2026/05/27_8,4.9,0.3531692922115326,187.68226871518578,False,9831.910589483394
2026-06-03,2026/06/03_2,4.2,0.23995736241340637,10.0,False,9821.910589483394
2026-06-07,2026/06/07_11,5.0,0.23882527649402618,47.667299292037065,False,9774.243290191356
2026-06-07,2026/06/07_3,3.1,0.3362843096256256,19.77253077946884,True,9815.76560482824
